day,site_id,minigrid_name,SAIDI
2023-01-01,hgr kitatumba,enk,0.0
2023-01-01,hgr lubero,virunga,0.0
2023-01-02,csr bakhita,nuru,0.0
2023-01-02,heal africa,snel,0.317639
2023-01-02,hgr lubero,virunga,0.155466
2023-01-03,ch matanda,enk,1.210833
2023-01-03,cs murara,snel,0.0
2023-01-03,hgr beni,enk,0.0
2023-01-03,hgr panzi,snel,0.0
2023-01-04,ch matanda,enk,5.478333
2023-01-04,heal africa,snel,0.158333
2023-01-04,hgr kitatumba,enk,2.114028
2023-01-04,hgr panzi,snel,0.0
2023-01-05,ch matanda,enk,1.532222
2023-01-05,csr bakhita,nuru,0.0
2023-01-05,csr kiziba,nuru,0.0
2023-01-05,heal africa,snel,0.3575
2023-01-05,hgr panzi,snel,0.0
2023-01-05,hopital provincial,snel,0.0
2023-01-06,csr kiziba,nuru,0.0
2023-01-06,heal africa,snel,0.102778
2023-01-06,hgr katwa,enk,0.115833
2023-01-06,hopital provincial,snel,0.01375
2023-01-07,hgr beni,enk,0.0
2023-01-07,hgr katwa,enk,0.0
2023-01-08,cclk,nuru,0.0
2023-01-08,heal africa,snel,0.116667
2023-01-08,hgr katwa,enk,0.0
2023-01-08,hgr kitatumba,enk,0.0
2023-01-08,hgr panzi,snel,0.0
2023-01-09,csr bakhita,nuru,0.0
2023-01-10,csr bakhita,nuru,0.0
2023-01-10,heal africa,snel,0.198333
2023-01-11,cclk,nuru,0.0
2023-01-11,hgr beni,enk,0.0
2023-01-11,hopital provincial,snel,0.016806
2023-01-12,ch cbca bethesda ndosho,virunga,0.00125
2023-01-12,ch matanda,enk,0.912222
2023-01-12,cs murara,snel,0.0
2023-01-12,hgr beni,enk,0.070833
2023-01-13,csr bakhita,nuru,0.0
2023-01-13,hgr beni,enk,0.161389
2023-01-13,hgr katwa,enk,0.095
2023-01-13,ngangi 3,virunga,8.681082
2023-01-14,ch cbca bethesda ndosho,virunga,0.0
2023-01-14,hgr katwa,enk,0.205
2023-01-14,hgr lubero,virunga,0.0
2023-01-15,cs murara,snel,0.0
2023-01-15,csr bakhita,nuru,0.0
2023-01-16,cclk,nuru,20.259354
2023-01-16,heal africa,snel,0.038889
2023-01-16,hgr katwa,enk,0.231389
