day,site_id,minigrid_name,undervoltage_duration
2023-01-01,cclk,nuru,0.0
2023-01-01,ch cbca bethesda ndosho,virunga,13.8333
2023-01-01,ch matanda,enk,0.0
2023-01-01,cs murara,snel,0.0
2023-01-01,csr bakhita,nuru,0.0
2023-01-01,heal africa,snel,0.0
2023-01-01,hgr beni,enk,0.0
2023-01-01,hgr katwa,enk,0.0
2023-01-01,hgr kitatumba,enk,8.5833
2023-01-01,hgr lubero,virunga,0.0
2023-01-01,hgr panzi,snel,0.0
2023-01-01,hopital provincial,snel,0.0
2023-01-01,ngangi 3,virunga,0.0
2023-01-02,cclk,nuru,0.1667
2023-01-02,ch cbca bethesda ndosho,virunga,14.25
2023-01-02,ch matanda,enk,0.0
2023-01-02,cs murara,snel,0.0
2023-01-02,csr bakhita,nuru,0.0
2023-01-02,csr kiziba,nuru,0.0
2023-01-02,heal africa,snel,0.0
2023-01-02,hgr beni,enk,0.0
2023-01-02,hgr katwa,enk,0.75
2023-01-02,hgr kitatumba,enk,8.9167
2023-01-02,hgr lubero,virunga,0.0
2023-01-02,hgr panzi,snel,0.0
2023-01-02,hopital provincial,snel,0.0
2023-01-02,ngangi 3,virunga,0.6667
2023-01-03,cclk,nuru,0.1667
2023-01-03,ch cbca bethesda ndosho,virunga,6.25
2023-01-03,ch matanda,enk,0.0
2023-01-03,csr bakhita,nuru,0.0833
2023-01-03,csr kiziba,nuru,0.0
2023-01-03,heal africa,snel,0.0
2023-01-03,hgr beni,enk,0.0
2023-01-03,hgr katwa,enk,2.4167
2023-01-03,hgr kitatumba,enk,8.5
2023-01-03,hgr lubero,virunga,0.0
2023-01-03,hgr panzi,snel,0.0
2023-01-03,hopital provincial,snel,0.0
2023-01-03,ngangi 3,virunga,0.1667
2023-01-04,cclk,nuru,0.1667
2023-01-04,ch cbca bethesda ndosho,virunga,14.0833
2023-01-04,ch matanda,enk,0.5
2023-01-04,csr bakhita,nuru,0.0
2023-01-04,csr kiziba,nuru,0.0
2023-01-04,heal africa,snel,0.0
2023-01-04,hgr beni,enk,0.0
2023-01-04,hgr katwa,enk,3.0833
2023-01-04,hgr kitatumba,enk,8.9167
2023-01-04,hgr lubero,virunga,0.0
2023-01-04,hgr panzi,snel,0.0
2023-01-04,hopital provincial,snel,0.0
2023-01-04,ngangi 3,virunga,0.0
2023-01-05,cclk,nuru,0.0
2023-01-05,ch cbca bethesda ndosho,virunga,14.3333
2023-01-05,ch matanda,enk,0.0
2023-01-05,csr bakhita,nuru,0.0
2023-01-05,csr kiziba,nuru,0.0
2023-01-05,heal africa,snel,0.0
2023-01-05,hgr beni,enk,0.0
2023-01-05,hgr katwa,enk,3.4167
2023-01-05,hgr kitatumba,enk,8.6667
2023-01-05,hgr lubero,virunga,0.0
2023-01-05,hgr panzi,snel,0.0
2023-01-05,hopital provincial,snel,0.0
2023-01-05,ngangi 3,virunga,1.3333
2023-01-06,cclk,nuru,0.0
2023-01-06,ch cbca bethesda ndosho,virunga,14.3333
2023-01-06,ch matanda,enk,0.0833
2023-01-06,csr bakhita,nuru,0.0
2023-01-06,csr kiziba,nuru,0.0
2023-01-06,heal africa,snel,0.0
2023-01-06,hgr beni,enk,0.0
2023-01-06,hgr katwa,enk,3.8333
2023-01-06,hgr kitatumba,enk,13.8333
2023-01-06,hgr lubero,virunga,0.0
2023-01-06,hgr panzi,snel,0.0
2023-01-06,hopital provincial,snel,0.0
