day,transformer,district,SAIDI
2023-01-01,92,Achimota,0.0
2023-01-08,421,Mampong,0.0
2023-01-16,428,Mampong,7.354555
2023-01-22,70,Achimota,0.0
2023-02-01,225,Dansoman,0.0
2023-02-10,410,Mampong,0.0
2023-02-16,219,Dansoman,0.0
2023-02-21,74,Achimota,0.43787
2023-03-01,418,Mampong,0.0
2023-03-08,54,Achimota,0.0
2023-03-15,norc390,Kaneshie,0.0
2023-03-21,218,Dansoman,0.0
2023-03-27,6,Achimota,0.0
2023-04-03,222,Dansoman,0.0
2023-04-08,norc602,Achimota,0.0
2023-04-16,444,Mampong,3.832553
2023-04-21,82,Achimota,0.686323
2023-04-27,219,Dansoman,0.0
2023-05-03,328,Kaneshie,0.0
2023-05-08,norc111,Dansoman,4.259353
2023-05-15,303,Kaneshie,0.0
2023-05-22,414,Mampong,0.0
2023-05-25,79,Achimota,0.0
2023-06-05,14,Achimota,0.353611
2023-06-10,437,Mampong,0.0
2023-06-16,220,Dansoman,0.0
2023-06-23,311,Kaneshie,0.0
2023-06-30,89,Achimota,0.0
2023-07-07,7,Achimota,5.717248
2023-07-14,28,Achimota,0.0
2023-07-21,norc388,Kaneshie,0.0
2023-07-29,218,Dansoman,0.0
2023-08-03,435,Mampong,0.0
2023-08-08,65,Achimota,0.0
2023-08-17,427,Mampong,0.0
2023-08-23,322,Kaneshie,0.0
2023-08-28,454,Mampong,0.0
2023-09-03,441,Mampong,0.0
2023-09-13,301,Kaneshie,0.0
2023-09-19,222,Dansoman,4.252627
2023-09-24,439,Mampong,0.0
2023-10-01,61,Achimota,0.0
2023-10-12,234,Dansoman,0.046667
2023-10-17,456,Mampong,0.0
2023-10-25,405,Mampong,0.0
2023-11-02,10,Achimota,0.0
2023-11-10,223,Dansoman,5.740522
2023-11-13,427,Mampong,0.0
2023-11-19,norc337,Achimota,0.0
2023-11-25,79,Achimota,0.0
2023-12-02,norc390,Kaneshie,0.0
2023-12-14,9,Achimota,0.0
2023-12-23,222,Dansoman,2.559306
2023-12-27,9,Achimota,0.0
2023-01-08,226,Dansoman,0.0
2023-01-15,224,Dansoman,0.0
2023-01-23,78,Achimota,0.021936
2023-01-31,407,Mampong,0.695556
2023-02-08,223,Dansoman,0.0
2023-02-14,319,Kaneshie,0.0
2023-02-20,norc430,Kaneshie,0.0
2023-03-01,433,Mampong,0.0
2023-03-06,304,Kaneshie,0.0
2023-03-11,100,Achimota,0.0
2023-03-19,214,Dansoman,0.0
2023-03-28,226,Dansoman,0.0
2023-04-05,440,Mampong,0.0
2023-04-13,1,Achimota,0.0
2023-04-18,218,Dansoman,0.0
2023-04-27,5,Achimota,0.0
2023-05-04,78,Achimota,0.0
2023-05-09,441,Mampong,0.059444
2023-05-19,415,Mampong,0.0
2023-05-24,61,Achimota,0.0
