day,transformer,district,SAIFI
2023-01-01,236,Dansoman,0.0
2023-01-01,norc225,Kaneshie,0.0
2023-01-01,norc854,Achimota,0.3333333333333333
2023-01-02,19,Achimota,0.0
2023-01-02,229,Dansoman,0.0
2023-01-02,norc332,Kaneshie,0.0
2023-01-02,norc923,Achimota,0.0
2023-01-05,211,Dansoman,0.0
2023-01-05,434,Mampong,0.0
2023-01-05,47,Achimota,0.0
2023-01-05,97,Achimota,0.0
2023-01-05,norc533,Achimota,0.0
2023-01-06,428,Mampong,0.0
2023-01-07,18,Achimota,0.0
2023-01-07,454,Mampong,0.0
2023-01-08,210,Dansoman,0.0
2023-01-08,63,Achimota,0.0
2023-01-09,70,Achimota,0.0
2023-01-09,norc854,Achimota,0.0
2023-01-10,211,Dansoman,0.0
2023-01-10,414,Mampong,0.0
2023-01-10,70,Achimota,0.5
2023-01-11,82,Achimota,0.0
2023-01-11,norc172,Dansoman,0.0
2023-01-12,237,Dansoman,0.0
2023-01-12,318,Kaneshie,0.0
2023-01-12,319,Kaneshie,0.0
2023-01-12,402,Mampong,0.0
2023-01-12,96,Achimota,0.6666666666666666
2023-01-12,norc858,Achimota,0.0
2023-01-14,212,Dansoman,0.0
2023-01-14,26,Achimota,0.0
2023-01-14,6,Achimota,1.0
2023-01-14,86,Achimota,1.0
2023-01-15,223,Dansoman,0.0
2023-01-15,233,Dansoman,0.0
2023-01-15,309,Kaneshie,0.0
2023-01-15,405,Mampong,0.0
2023-01-15,433,Mampong,0.0
2023-01-15,71,Achimota,0.0
2023-01-15,norc225,Kaneshie,0.0
2023-01-16,213,Dansoman,0.0
2023-01-16,219,Dansoman,0.0
2023-01-16,norc532,Achimota,0.0
2023-01-17,204,Dansoman,0.0
2023-01-17,4,Achimota,0.0
2023-01-17,416,Mampong,1.0
2023-01-17,429,Mampong,0.0
2023-01-17,5,Achimota,0.3333333333333333
2023-01-17,52,Achimota,0.0
2023-01-18,317,Kaneshie,0.0
2023-01-18,419,Mampong,0.0
2023-01-18,96,Achimota,0.0
2023-01-19,214,Dansoman,0.0
2023-01-19,305,Kaneshie,0.0
2023-01-20,217,Dansoman,0.0
2023-01-20,418,Mampong,1.1868131868131868
